,Station,Issue date/time,Validity from,Validity To,Wind dir (deg),Wind Speed,Gust,Significant Wx,FCST/OBS
120,VABB,21/0830,210900Z,211300Z,250,17KT,30KT,-TSRA,FCST
121,VABB,21/1230,211300Z,211700Z,250,17KT,30KT,-TSRA,FCST
122,VABB,21/1630,211700Z,212100Z,250,17KT,30KT,TSRA,FCST
123,VABB,21/2030,212100Z,220100Z,250,20KT,40KT,+TSRA,FCST
124,VABB,22/0030,220100Z,220500Z,250,20KT,40KT,+TSRA,FCST
125,VABB,22/0630,220500Z,220900Z,250,20KT,40KT,TSRA,FCST
126,VABB,22/0830,220900Z,221300Z,250,17KT,35KT,TSRA,FCST
127,VABB,22/1230,221300Z,221700Z,250,17KT,35KT,,FCST
128,VABB,22/1700,221730Z,222130Z,250,17KT,35KT,TSRA,FCST
129,VABB,22/2100,222130Z,230130Z,250,17KT,35KT,TSRA,FCST
130,VABB,23/0100,230130Z,230530Z,250,17KT,35KT,TSRA,FCST
131,VABB,23/0500,230530Z,230930Z,250,17KT,35KT,TSRA,FCST
132,VABB,23/0900,230930Z,231330Z,230,17KT,30KT,TSRA,FCST
133,VABB,23/1300,231330Z,231730Z,250,17KT,,,FCST
134,VABB,23/1700,231730Z,232130Z,250,17KT,,TSRA,FCST
135,VABB,23/2100,232130Z,240130Z,250,17KT,,TSRA,FCST
136,VABB,24/0115,240130Z,240600Z,250,17KT,,,FCST
137,VABB,24/0515,240530Z,241000Z,250,17KT,,,FCST
138,VABB,24/0900,240930Z,241330Z,250,20KT,30KT,TSRA,FCST
139,VABB,24/1300,241300Z,241700Z,250,20KT,35KT,TSRA,FCST
140,VABB,24/1700,241730Z,242130Z,250,17KT,30KT,,FCST
141,VABB,24/2100,242130Z,250130Z,250,17KT,30KT,-TSRA,FCST
142,VABB,25/0100,250130Z,250530Z,250,17KT,30KT,-TSRA,FCST
143,VABB,25/0500,250530Z,250930Z,250,17KT,30KT,,FCST
144,VABB,25/0900,250930Z,251330Z,250,20KT,35KT,,FCST
145,VABB,25/1300,251330Z,251730Z,250,20KT,30KT,TSRA,FCST
146,VABB,25/1700,251730Z,252130Z,270,17KT,30KT,,FCST
147,VABB,25/2100,252130Z,260130Z,250,17KT,27KT,,FCST
148,VABB,26/0100,260130Z,260530Z,250,17KT,30KT,,FCST
149,VABB,26/0500,260530Z,260930Z,250,17KT,30KT,TSRA,FCST
150,VABB,26/0900,260930Z,261330Z,250,17KT,27KT,TSRA,FCST
151,VABB,26/1300,261330Z,261730Z,250,17KT,27KT,TSRA,FCST
152,VABB,27/0100,270130Z,270530Z,270,17KT,27KT,,FCST
153,VABB,27/0500,270530Z,270930Z,,17KT,30KT,-TSRA,FCST
154,VABB,27/0900,270930Z,271330Z,270,17KT,30KT,TSRA,FCST
155,VABB,27/1300,271330Z,271730Z,250,17KT,30KT,TSRA,FCST
156,VABB,27/1700,271730Z,272130Z,250,17KT,27KT,TSRA,FCST
157,VABB,27/2100,272130Z,280130Z,250,17KT,27KT,TSRA,FCST
158,VABB,28/0100,280130Z,280530Z,270,17KT,30KT,TSRA,FCST
159,VABB,28/0515,280530Z,281000Z,270,17KT,27KT,,FCST
160,VABB,28/0915,280930Z,281400Z,270,17KT,30KT,,FCST
161,VABB,28/1315,281330Z,281800Z,270,17KT,27KT,,FCST
162,VABB,28/1715,281730Z,282100Z,270,17KT,27KT,,FCST
163,VABB,28/2100,282130Z,290130Z,270,17KT,27KT,,FCST
164,VABB,28/0100,280130Z,280530Z,270,17KT,30KT,TSRA,FCST
165,VABB,29/0500,290530Z,290930Z,270,17KT,30KT,,FCST
166,VABB,29/0900,290930Z,291330Z,250,20KT,30KT,,FCST
167,VABB,29/1300,291330Z,291730Z,250,20KT,30KT,,FCST
168,VABB,29/2100,291730Z,292130Z,270,17KT,30KT,,FCST
169,VABB,29/2100,292130Z,300130Z,270,17KT,30KT,,FCST
170,VABB,30/0100,300130Z,300530Z,270,20KT,30KT,TSRA,FCST
171,VABB,30/0600,300630Z,301030Z,250,17KT,30KT,,FCST
172,VABB,30/1000,301030Z,301430Z,270,17KT,30KT,,FCST
173,VABB,30/1400,301430Z,301830Z,270,17KT,27KT,,FCST
174,VABB,30/1900,301930Z,302330Z,250,17KT,30KT,,FCST
175,VABB,30/2300,302330Z,310330Z,270,17KT,30KT,,FCST
176,VABB,31/0130,310200Z,310600Z,270,17KT,30KT,TSRA,FCST
177,VABB,31/0530,310600Z,311000Z,270,17KT,30KT,,FCST
178,VABB,31/0930,311000Z,311400Z,270,17KT,30KT,,FCST
179,VABB,31/1330,311400Z,311800Z,250,17KT,35KT,,FCST
180,VABB,31/1730,311800Z,312200Z,270,17KT,30KT,,FCST
181,VABB,31/2130,312200Z,010200Z,270,17KT,27KT,,FCST
